Dat2SB	ParticipantBarcode	Study	SampleTypeLetterCode	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12
TCGA-CF-A47T-01A	TCGA-CF-A47T	BLCA	TP	1	3	3	4	5	5	6	1	5	3	3
TCGA-CF-A47V-01A	TCGA-CF-A47V	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CF-A47W-01A	TCGA-CF-A47W	BLCA	TP	1	3	4	5	1	1	5	1	1	5	5
TCGA-CF-A47X-01A	TCGA-CF-A47X	BLCA	TP	1	3	4	5	6	6	7	7	9	8	8
TCGA-CF-A47Y-01A	TCGA-CF-A47Y	BLCA	TP	1	3	4	5	1	1	5	1	1	5	5
TCGA-CF-A5U8-01A	TCGA-CF-A5U8	BLCA	TP	1	3	4	5	6	6	7	1	1	5	5
TCGA-CF-A5UA-01A	TCGA-CF-A5UA	BLCA	TP	1	3	3	4	1	1	5	1	1	5	5
TCGA-CF-A7I0-01A	TCGA-CF-A7I0	BLCA	TP	1	3	1	1	2	2	2	2	2	4	4
TCGA-CF-A8HX-01A	TCGA-CF-A8HX	BLCA	TP	1	3	4	5	6	6	7	1	1	5	5
TCGA-CF-A8HY-01A	TCGA-CF-A8HY	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CF-A9FF-01A	TCGA-CF-A9FF	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CF-A9FH-01A	TCGA-CF-A9FH	BLCA	TP	1	3	3	4	5	5	6	1	1	5	5
TCGA-CF-A9FL-01A	TCGA-CF-A9FL	BLCA	TP	1	3	3	4	5	5	6	5	2	4	4
TCGA-CF-A9FM-01A	TCGA-CF-A9FM	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CU-A0YN-01A	TCGA-CU-A0YN	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CU-A0YO-01A	TCGA-CU-A0YO	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-CU-A0YR-01A	TCGA-CU-A0YR	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
