AliquotBarcode	SampleBarcode	ClusterModel1	ClusterModel2	LIexpression_score	CSF1_response	TGFB_score_21050467	Module3_IFN_score	CHANG_CORE_SERUM_RESPONSE_UP
TCGA.78.7539.01A.11R.2066.07	TCGA-78-7539-01A	3	3	1.17488258475812	1.22886672616969	-0.637290093718844	1.17509367725063	-0.779879940644813
TCGA.78.7540.01A.11R.2066.07	TCGA-78-7540-01A	3	3	0.224221781567095	0.374460433057973	-0.100828033966363	0.596643697813938	-0.987145330275642
TCGA.78.7542.01A.21R.2066.07	TCGA-78-7542-01A	2	2	0.397408008374516	-0.0532560245781558	-0.073384919882776	1.96062125130838	1.2594007149602
TCGA.78.7633.01A.11R.2066.07	TCGA-78-7633-01A	3	3	-0.680575475394291	-0.404745786793984	-0.279309916672948	-0.910016713742086	-0.762315077116777
TCGA.78.8640.01A.11R.2403.07	TCGA-78-8640-01A	2	2	0.686508073414045	0.452227061719087	-0.34375041418774	-0.232659065309076	0.549780228427537
TCGA.78.8648.01A.11R.2403.07	TCGA-78-8648-01A	3	3	1.79202489671043	2.15013178748675	1.72139474118379	-0.150180875332209	-0.867704258284995
TCGA.78.8655.01A.11R.2403.07	TCGA-78-8655-01A	3	3	0.920389341500482	1.04715460375362	0.447830965378824	0.193845799437609	-0.555049687485948
TCGA.78.8660.01A.11R.2403.07	TCGA-78-8660-01A	2	2	1.42678982375073	1.25825378551522	0.10672322143617	-0.191199440400918	0.505868069607446
TCGA.78.8662.01A.11R.2403.07	TCGA-78-8662-01A	1	1	-0.362040597102909	-0.762651937513205	-0.464703398482067	-1.13396484722205	0.425069697378479
TCGA.79.5596.01A.31R.1949.07	TCGA-79-5596-01A	1	1	-0.0972033367851927	-0.645745338981398	0.755600407768085	-1.64030154290891	0.86067831287378
TCGA.80.5607.01A.31R.1949.07	TCGA-80-5607-01A	2	2	0.965340180342461	0.938717638046289	0.278090222713678	0.683863281064875	-0.186187553397185
TCGA.80.5608.01A.31R.1949.07	TCGA-80-5608-01A	1	1	0.591510446149017	0.197496438134414	-0.0689127086987841	-0.114675558256606	0.112415126579433
TCGA.83.5908.01A.21R.2287.07	TCGA-83-5908-01A	2	2	1.28661318079681	1.39851603819938	0.918226269004153	1.34699674967567	0.87999966275462
TCGA.85.6175.01A.11R.1820.07	TCGA-85-6175-01A	1	1	0.898180128400892	1.42084507019118	2.39303954808875	0.744509008989042	-0.570858064661181
TCGA.85.6560.01A.11R.1820.07	TCGA-85-6560-01A	2	2	0.830487663816525	1.05793413643932	0.519183061996149	0.362440923066792	1.10658640226629
TCGA.85.6561.01A.11R.1820.07	TCGA-85-6561-01A	1	1	1.4627657066141	1.30483676604985	1.76266105347244	-0.0878811730101106	0.405748347497639
TCGA.85.6798.01A.11R.1949.07	TCGA-85-6798-01A	1	1	-0.554621855897985	-0.795632174420641	1.35873907062735	-2.104075964089	0.967823980394802
TCGA.85.7696.01A.11R.2125.07	TCGA-85-7696-01A	1	1	0.29617354729385	0.316584608757374	0.586672794409118	0.0969228997188045	0.744750213588741
TCGA.85.7697.01A.11R.2125.07	TCGA-85-7697-01A	1	1	1.07790742481984	0.235224802534361	1.04426131146211	0.397284650383223	0.549780228427537
TCGA.85.7698.01A.11R.2125.07	TCGA-85-7698-01A	2	2	1.12232585101902	0.788702474836978	1.2471370733541	1.48626139398153	0.692055623004632
TCGA.85.7699.01A.11R.2125.07	TCGA-85-7699-01A	1	1	1.45386680958447	1.25851044105536	1.14264995750993	0.0338513426776712	0.788662372408831
TCGA.85.7710.01A.11R.2125.07	TCGA-85-7710-01A	1	1	0.297770785222245	0.136797402892323	0.726327752745592	0.299589895945383	0.54626725572193
TCGA.85.7843.01A.11R.2125.07	TCGA-85-7843-01A	1	1	0.498946705251067	0.559637405265874	1.13512851142776	-0.514386037756795	1.05213532532938
TCGA.85.7844.01A.11R.2125.07	TCGA-85-7844-01A	1	1	0.682629067016513	0.547061283799225	1.58499230007204	-0.618365894906776	0.44966050631773
TCGA.85.7950.01A.11R.2187.07	TCGA-85-7950-01A	2	2	1.08034131118691	0.740707888831603	1.16521429575643	1.96613449930148	0.504111583254643
TCGA.85.8048.01A.11R.2247.07	TCGA-85-8048-01A	2	2	1.77110868574335	1.47730928902104	1.26014714225299	0.921484269567747	0.247664575745312
TCGA.85.8049.01A.11R.2247.07	TCGA-85-8049-01A	6	6	1.60971159602646	1.46601644525507	1.72566367004123	0.0776265317429333	-0.138762421871487
TCGA.85.8052.01A.11R.2247.07	TCGA-85-8052-01A	1	1	0.42113840045353	0.148731885508633	0.609643697308713	-0.224389193319417	0.453173479023337
TCGA.85.8070.01A.11R.2247.07	TCGA-85-8070-01A	1	1	-0.709325758105405	-1.42097339796125	-0.845857760754103	-0.235305424345767	0.625309141598093
TCGA.85.8071.01A.11R.2247.07	TCGA-85-8071-01A	1	1	0.0948455093670855	-1.03894162646928	0.593584393511651	-0.0971434296385288	0.119441071990647
TCGA.85.8072.01A.31R.2247.07	TCGA-85-8072-01A	1	1	0.770401094129278	0.456461878131326	0.103470704211449	-0.134082191192339	0.50762455596025
TCGA.85.8276.01A.11R.2296.07	TCGA-85-8276-01A	1	1	1.38564193235731	1.00506309517136	1.24876333196646	-0.147313986375794	0.876486690049013
TCGA.85.8277.01A.11R.2296.07	TCGA-85-8277-01A	1	1	0.573788711038727	0.0645488683441262	0.369363987332421	-0.0750904376661045	0.869460744637799
TCGA.85.8287.01A.11R.2296.07	TCGA-85-8287-01A	2	1	1.63359410600342	1.14737859217661	1.75005754922665	1.0074909382602	-0.00702594541121453
TCGA.85.8288.01A.11R.2296.07	TCGA-85-8288-01A	1	1	0.6113618318305	0.240486241107142	1.37520493907751	0.439846924890001	0.843113449345744
TCGA.85.8350.01A.11R.2296.07	TCGA-85-8350-01A	1	1	0.901070368461798	0.563358910597841	1.7768908163306	-0.231776945630179	0.461955910787356
TCGA.85.8351.01A.11R.2296.07	TCGA-85-8351-01A	1	1	-0.222320307842816	0.0890594724270847	0.925137868106686	-0.312711426168976	0.867704258284995
TCGA.85.8352.01A.31R.2326.07	TCGA-85-8352-01A	1	1	-0.514919084535019	-1.24323943641729	-1.4725771734926	-1.01146047681524	0.904590471693871
TCGA.85.8353.01A.21R.2296.07	TCGA-85-8353-01A	1	1	1.11555660456058	0.887258202249083	2.00700640997963	-0.286578630681653	0.451416992670534
TCGA.85.8354.01A.31R.2326.07	TCGA-85-8354-01A	1	1	-0.0323250533127597	-0.637532361697056	-0.223000712219959	-1.43631136716399	1.17684585637843
TCGA.85.8355.01A.11R.2296.07	TCGA-85-8355-01A	2	2	1.95570375489645	1.91413701833198	0.677743276701317	0.788725257893753	-0.147544853635505
TCGA.85.8479.01A.11R.2326.07	TCGA-85-8479-01A	1	1	-0.801965557952325	-1.27904288426621	0.23743375740466	-1.22305893479065	0.37237510679437
